Protein IDs,Symbols,log2FC,adj.pvalue
L7RT22;P18084;D3DNA1;H7C5U2;H7C4W1,ITGB5,-0.92039040683025,0.0365216
O60427;B7Z5F3;H7C2V0;F5H3U5;H0YB97;F5H3P6,FADS1,-0.73835437977616,0.133614
Q9NZ53,PODXL2,-0.80465257163054,0.124245
B7ZC38;Q9NR46;B7ZC39;F8WFB9;Q71RA6;H7C1Z6;G5E9J1,SH3GLB2,-1.12977932183305,0.0054099
Q9BTE3,MCMBP,-0.91421623888672,0.0492542
Q6PI47;A8K4A2,KCTD18,1.42339546052732,0.0316832
O60568;B3KQQ3;Q9UG85;H7C2V1;H7C2S8;B4DMP0;B4DPX5;H7C0B8,PLOD3,-1.07447383433652,0.00351532
O43278;B4DTF6;H3BVD9;B2RBU9;H3BMB6;H3BTQ8;H3BNW5;H3BSM2,SPINT1,-0.93713424389066,0.0239865
B9EGR7;Q12774;Q68E09;H0Y895;B3KQX6;H9XFB6;C9J591;Q32Q31,ARHGEF5,-1.0631258647458,0.00389587
Q96BR5,COA7,-1.1414943623841,0.0144077
Q96CQ1;B4DL01;J3KQA4;F6SDC8,SLC25A36,-0.96117971785731,0.0747807
P30740;B4E3A8;B4DNT0,SERPINB1,1.04360490563301,0.0362028
G3JVM2;G3JVM5;G3JVM7;G3JVM9;P22455;Q59F30;B4DVP5;J3KPQ0;Q96KE5;H0Y9P2;B5A965;E7EWF4,FGFR4,-0.55427266799969,0.157908
A8K1V0;E9PBB4;Q15032;B3KXQ9;E9PG42;G5E9G8;Q53SQ1;H7C207;B4DLH6;H7C2F9;B5MCG9;B5MCU0;Q9Y2K5;Q4ZG59;H0YIX9;H7C1X4,R3HDM1;R3HDM2,-1.22573035613848,0.0137082
Q01970,PLCB3,-1.28633171361895,0.00461695
P07203;Q7L4Q3,GPX1,1.28409733746852,0.0436572
Q29SN7;Q7Z7E8;A7MAV4;Q8WVN8;C9JX13;B4DFQ2;E9PHD0,UBE2Q1;UBE2Q2,-0.93974478235304,0.0316176
B2RB38;Q9Y5Y0;H7C3Z2,FLVCR1,-0.96809148178004,0.0546727
Q9H3K6;H3BTW0;H3BV85,BOLA2;BOLA2B,-1.56540259308268,1.66987e-5
Q14527;Q59GQ7;A8K5B6;H7C5K0;Q05DF7;Q05BZ6;Q05DQ5,HLTF,-1.10612805376841,0.0112526
Q9BQ24;G3V2M2;G3V5D6,ZFYVE21,-0.70162237280911,0.129289
Q96K49;H7C0B3;H7C1G1,TMEM87B,-0.78755506513942,0.0893698
Q9Y6U3;Q8NBV9;Q75MG0;E5RHX6;E5RHN8;C9JGB6,SCIN,-0.80227519279123,0.0671211
E9PLM6;P21741;E9PPJ5,MDK,-1.54606644876983,9.07657e-5
Q16651;B4DWP2;H3BUJ8;B4DKP1;H3BVC8,PRSS8,-0.88891535490752,0.0166421
